Event_ID,Age,Uncertainty,StratRelation,Polarity,Source Paper,Method,,,
bdt,0.0463,0.0034,NA,NA,"Clynne M. A. & Muffler L. J. P. (2010)",Ar-Ar,,,
arrt,0.0690,0.0200,NA,NA,"Clynne M. A. & Muffler L. J. P. (2010)",K-Ar,,,
bc2,0.0976,0.0098,NA,NA,"Clynne M. A. & Muffler L. J. P. (2010)",Ar-Ar,,,
bb6,0.1001,0.0085,NA,NA,"Clynne M. A. & Muffler L. J. P. (2010)",Ar-Ar,,,
bt4,0.1010,0.0019,NA,NA,"Clynne M. A. & Muffler L. J. P. (2010)",Ar-Ar,,,
br2,0.1015,0.0087,NA,NA,"Clynne M. A. & Muffler L. J. P. (2010)",Ar-Ar,,,
bg4,0.1021,0.0011,NA,NA,"Clynne M. A. & Muffler L. J. P. (2010)",Ar-Ar,,,
bp6,0.1050,0.0060,NA,NA,"Clynne M. A. & Muffler L. J. P. (2010)",Ar-Ar,,,
bpc1,0.1062,0.0036,NA,NA,"Clynne M. A. & Muffler L. J. P. (2010)",Ar-Ar,,,
bb12,0.1075,0.0038,NA,NA,"Clynne M. A. & Muffler L. J. P. (2010)",Ar-Ar,,,
bt1,0.1080,0.0140,NA,NA,"Clynne M. A. & Muffler L. J. P. (2010)",K-Ar,,,
bs5,0.1086,0.0021,NA,NA,"Clynne M. A. & Muffler L. J. P. (2010)",Ar-Ar,,,
bs4,0.1108,0.0038,NA,NA,"Clynne M. A. & Muffler L. J. P. (2010)",Ar-Ar,,,
bl35,0.2020,0.0022,NA,NA,"Clynne M. A. & Muffler L. J. P. (2010)",Ar-Ar,,,
bl22,0.2200,0.0140,NA,NA,"Clynne M. A. & Muffler L. J. P. (2010)",K-Ar,,,
mtr,0.2770,0.0220,NA,NA,"Clynne M. A. & Muffler L. J. P. (2010)",K-Ar,,,
mee1,0.3020,0.0360,NA,NA,"Clynne M. A. & Muffler L. J. P. (2010)",K-Ar,,,
bsl,0.3020,0.0070,NA,NA,"Clynne M. A. & Muffler L. J. P. (2010)",Ar-Ar,,,
bie,0.3310,0.4500,NA,NA,"Clynne M. A. & Muffler L. J. P. (2010)",K-Ar,,,
mcm,0.3620,0.0330,NA,NA,"Clynne M. A. & Muffler L. J. P. (2010)",K-Ar,,,
bss1,0.3930,0.0040,NA,NA,"Clynne M. A. & Muffler L. J. P. (2010)",Ar-Ar,,,
mc8,0.4000,0.0140,NA,NA,"Clynne M. A. & Muffler L. J. P. (2010)",K-Ar,,,
